东方艺术中心 , 浦东新区丁香路425号
上海酷贝拉文化创意产业园 , 上海市徐汇区龙吴路118号
上海喜玛拉雅美术馆 , 浦东新区芳甸路1188弄1号上海喜玛拉雅艺术中心3F
墨尔本体育馆 , 墨尔本体育馆
川沙影剧院 , 浦东新区川沙新镇新川路400号
上海野生动物园 , 三灶镇
法兰桥创意园区 , 欧阳路196号
上海影城2号厅 , 长宁区新华路160号番禺路口
浦东塘桥文化中心 , 蓝村路86号
上海外滩22号 , 上海市中山东二路22号（近新永安路）地铁10号线豫园路站1号出口
上海红坊国际文化艺术社区 , 淮海西路570号
松江体育馆 , 松江区荣乐中路九峰路路口，荣乐中路三号门
静安嘉里百美汇4号厅 , 上海市静安区南京西路1551号 静安嘉里中心商场N4-01室
上海火车头体育场 , 共和新路955号
源深体育中心体育场 , 上海市浦东新区源深路655号
崇明县崇明岛旁 , 崇明县崇明岛旁隆海路与永兴中路交叉口
百丽宫ifc商场店1号厅 , 浦东新区世纪大道8号国金中心商场地下一层LG1-1(近银城中路)
上海新世纪影城 , 浦东张杨路501号（第一八佰伴十楼）
镭战大联盟 , 南外滩外马路1353号
普陀区图书馆 , 铜川路1278号
希仕会 , 外马路307号
2015中国马术场地障碍俱乐部联赛 , 临港新城方竹路茉莉路口西侧
崇明县文化馆 , 崇明大道7887号
上海喜玛拉雅艺术中心 无极场 , 芳甸路1188弄1号
上海有间美术馆 , 黄陂南路751号1号楼2层
上海音乐学院 , 汾阳路20号
百丽宫ifc商场店 , 世纪大道8号国金中心商场地下一层LG1-1(近银城中路)
上海世博洲际酒店 , 雪野路1188号
龙美术馆（浦东馆） , 罗山路2255弄210号
上海美兰湖湖滨 , 罗芬路888号
赤脚狂奔大型真人主题密室体验中心 , 上海市闸北区万荣路700号大宁中心广场A5-204室
星球影棚 , 上海市宝山区长江路258号（近军工路） 中成智谷创意产业园
上海金茂君悦酒店 , 上海市浦东区浦东大道88号
宝山上影国际影城 , 宝山区永清路700号 宝山体育中心1楼
兰生影剧院 , 淮海中路8号兰生大厦4层和5层
Riverside Sports Pitch , 鲁班路909号卢浦大桥浦西广场
芳汇广场 , 长寿路1118弄
兰馨·悦立方 , 张杨路400号
上海欢乐谷 , 位于上海松江区佘山林荫大道
1933空中剧院 , 上海市溧阳路611号
上海南桥海上国际影城 , 奉贤区南桥镇百齐路288号百联南桥购物中心二期4楼
中华艺术宫 , 上南路161号
上海喜玛拉雅大观舞台 前厅艺术空间 , 芳甸路1188号喜马拉雅中心3层
上海滨海高尔夫球场 , 浦东南汇滨海
上海港国际客运中心国际邮轮码头 , 上海市虹口区太平路1号
同济大学四平路校区 , 杨浦区四平路1239号
上影世博国际影城 , 浦东新区世博大道1200号6楼（梅赛德斯奔驰文化中心）
静安嘉里百美汇2号厅 , 上海市静安区南京西路1551号 静安嘉里中心商场N4-01室
茉莉花开摄影 , 徐汇区龙漕路200弄22号10号楼201室（靠近龙漕路地铁站）
上海松江大学城体育场 , 上海松江新城区
M18 , 中山东一路18号4楼，近南京东路
上海南翔古猗园 , 上海南翔古猗园
新江湾城SMP滑板公园 , 上海市新江湾城殷行路880号
江湾体育馆 , 杨浦区国和路346号
上海万达影城（五角场店）4号厅 , 上海市杨浦区国宾路58号五角场万达商业广场三层
上影华威电影城 , 上海市静安区南京西路2-68号新世界城11-12楼
小不点大视界亲子微剧场 , 上海市闸北区共和新路1878-2008号(近大宁路)大宁国际商业广场5座F3
静安嘉里百美汇1号厅 , 上海市静安区南京西路1551号 静安嘉里中心商场N4-01室
赛琳娜号 宙斯大剧院 , 上海宝山码头地址：上海宝山区宝杨路1号。
金山石化工人影剧院 , 石化象州路198号
华谊兄弟影院 , 普陀区大渡河路196号长风景畔广场5层
逸夫舞台（天蟾剧场） , 上海市黄浦区福州路701号
直升机旅游服务中心 , 耀龙路100号
世纪友谊影城 , 沪闵路7250号友谊商城9楼
上海崇明岛 , 崇明岛地处长江口
黄浦体育馆 , 上海市黄浦区山东中路311号（九江路口）
幸福码头4号楼 , 黄浦区中山南路1029号
洛杉矶好莱坞中国剧院 , 洛杉矶好莱坞中国剧院
bubbly nation , 静安区海防路537号
中福会儿童艺术剧院 微剧场 , 上海市静安区华山路643号
创邑SPACE 源园区 , 上海市长宁区凯旋路613号（近延安西路）
环艺电影城 , 上海市南京西路1038号梅龙镇广场十楼
新衡山电影院 , 上海市衡山路838号
《Mr.X Room Break》 长宁店 , 上海市长宁区定西路825号2楼
海上国际影城月星环球港店 , 普陀区中山北路3300号月星环球港四楼
上海同乐坊芷江梦工场 , 上海市余姚路34号3楼
上海波特曼丽嘉酒店 , 上海市南京西路1376号
下河迷仓 , 上海市龙漕路200弄100号三层
世博创意秀场 , 上海市黄浦区半淞园路498号（当代艺术博物馆旁）
四平电影院 , 上海市四平路901号
上海万达影城（江桥）9号厅 , 上海市嘉定区江桥镇金沙江西路1075弄49号三楼
曹杨影城 , 兰溪路125号
杨浦大剧院（金橙剧院） , 杨浦区控江路1155号（近靖宇南路）
上海和平影都 , 西藏中路290号(汉口路口)
顾村公园 , 顾村镇沪太路4788号环岛路1号(近沪太路)
东方体育中心包厢 , 上海市浦东新区耀体路701号
1788广场 , 上海市静安区南京西路1788号
上海植物园 , 上海市龙吴路1111号
风云电竞馆（原世博综艺大厅） , 上海市黄浦区鲁班路899号
上海秦皇岛码头 , 秦皇岛路32号（靠近杨树浦路）
百丽宫ifc商场店4号厅 , 浦东新区世纪大道8号国金中心商场地下一层LG1-1(近银城中路)
闸北区彭浦镇社区文化活动中心剧场 , 灵石路745号
上海万裕国际影城 天山路店 , 上海长宁区天山路900号汇金百货6楼(近娄山关路)
金海岸演艺大舞台 , 上海市控江路1155号（杨浦大剧院）
FUSION SHANGHAI , 兴业路123号，新天地南里广场6号楼5F
上海Ladybees蜂巢剧场 , 上海市茅台路179号金虹桥商场4楼
上海国际新闻中心 , 上海市浦东大道2550号
证大朱家角艺术馆 , 上海市青浦区 朱家角镇北大街222号（淼趣楼）
交通大学闵行校区综合体育馆 , 闵行区东川路800号上海交通大学(剑川路交大北一门)
静安创艺空间 , 康定路1147号C栋
上海绿地万豪酒店 , 上海市黄浦区江滨路99号
putra indoor stadium , Jalan Barat , Bukit Jalil , 57000 Kuala Lumpur. Malaysia
大宁灵石公园 , 上海市闸北区广中西路288号
上海杨浦中原城市广场艺展中心 , 国和路777号
上海佘山高尔夫俱乐部 , 上海佘山国家旅游度假区林荫新路288弄
上海梦魇惊悚魔幻屋 , 南苏州路1295号，近成都北路
上海体育场包厢 , 上海市徐汇区天钥桥路666号
上海环球港四楼 , 普陀区中山北路3300号
Kaiba 开巴生啤工作坊 , 上海市建国中路168号（近瑞金二路，田子坊）
沪东工人文化宫电影院 , 平凉路1500号
静安嘉里百美汇5号厅 , 上海市静安区南京西路1551号 静安嘉里中心商场N4-01室
上海金茂君悦大酒店 , 上海浦东新区世纪大道88号
喜玛拉雅海上国际影城 , 浦东新区芳甸路1188弄喜玛拉雅中心7楼
上海UME新天地国际影城 , 兴业路123弄6号4楼
曲阳影都 , 上海市虹口区曲阳路570号
上海万达影城周浦店 , 上海市周浦镇年家浜路518号万达广场C座4楼
梦想家（原飞行家主题园） , 上海浦东新区国展路311号
上海名捷万丽酒店 , 普陀区铜川路50号
概念商场Novo上海月星店 , 中山北路3300号月星环球港2楼2001室
上海银七星室内滑雪场 , 七莘路1835号（近顾戴路口）
鼎新小馆 , 中兴路1055号
上海萌物园 , 上海市浦东新区东大公路888号
上海市马术运动管理中心 , 金山区金廊公路6300号
华侨城大剧院 , 上海市松江区佘山林湖路888号欢乐谷金矿镇内
上海铁路文化宫 , 闸北区王家宅路164号(民德路王家宅路)
季风书园（上海图书馆店） , 上海市徐汇区淮海中路1555号地铁十号线上海图书馆站站厅层
JZ Latino露台 , 上海豫园万丽酒店22楼
龙之梦影城 , 长宁路1018号龙之梦购物中心9楼
DNA FBi , 中山南路505弄老码头5号楼2楼
上海K11购物艺术中心 , 上海市黄浦区淮海中路300号
南京东路步行街世纪广场 , 南京东路步行街世纪广场
北外滩滨江国际客运中心 , 虹口区东大名路258号太平路路口
上海星美正大影城 , 上海市浦东陆家嘴西路168号正大广场8楼
海上阿叔（黄浦店） , 黄浦区延安东路222号外滩中心B1楼(近江西中路)
凯宾斯基大酒店 , 陆家嘴环路1288号
上海周浦花海公园 , 浦东新区周邓公路与申江南路交叉口东600米左右
S.E.潮酷汇体验馆 , 卢湾区瞿溪路968号汇暻生活广场B2层
上海金外滩宾馆 , 上海市黄浦区广东路525号
DiningCube 暗房密室 , 共和新路1481号红墙创意园沿街商铺1座(洛川东路)
上海万达影城五角场店 , 上海市杨浦区国宾路58号三层
创智环境剧场 , 淞沪路246号江湾体育场环廊14看台126单元
SNH48星梦剧院 , 上海市虹口区东嘉兴路267号
东华大学延安西路校区 , 长宁区延安西路1882号东华大学内
iC运动空间 , 上海市浦东新区塘子泾路228号（近国展路）
世博大舞台 , 世博大道1700
百联南桥购物中心一楼内广场 , 上海市奉贤区南桥镇百齐路588号
上海美术馆 , 上海市黄浦区南京西路325号
中环影城4号厅 , 上海市普陀区真光路1288号C区4楼
天山电影院 , 长宁区天山路888号
上海巾帼园 , 上海天平路245号(徐家汇)
上海万达国际电影城 , 国宾路58号万达商业广场3楼
上海市虹口区四川北路65号 , 上海市虹口区四川北路65号
粒米Lifeismore Lounge Bar , 上海静安区常德路800号C3 102-104 近昌平路（800秀内，地铁七号线昌平路站2号出口）
匚fount创意料理餐厅 , 上海徐汇区永嘉路570号永嘉庭5号楼1楼
VS PUB , 外马路579号
世博纪念展馆 , 局门路735号
老码头一号会所 , 上海中山南路479号老码头1号楼(近复兴东路)
云艺术中心 , 宜山路407号3楼
戏剧学院实验剧场 , 上海市静安区华山路670号
大丸百货 , 南京东路228号大丸百货一楼中庭
上海环球港三楼 , 上海市普陀区中山北路3300号
复兴公园 , 上海市卢湾区雁荡路105号
歌诗达邮轮赛琳娜号 , 吴淞口国际邮轮码头
宝钢大舞台 , 世博园浦东园区，西邻卢浦大桥，北接黄浦江
上海文艺活动中心 , 延安西路200号（近乌鲁木齐路）
小顽家亲子剧场 , 遵义路100号虹桥南丰城南区M层小顽家亲子剧场
上海市国家会展中心洲际酒店 , 诸光路1700号，国家会展中心3号门
MAKAN , 漕溪北路45号2楼(徐家汇地铁站9号出口)
星梦域 , 闵行区芦恒路1398号
梦现场互动剧场 , 嘉定区博乐路70号现厂C栋3楼
lola club , 徐汇区岳阳路46号
艺仓美术馆 , 上海市浦东新区滨江大道4777号
思南公馆会展中心 , 上海市黄浦区复兴中路505号
雍福会 , 永福路200号，靠近湖南路
上影广场 海上五号棚 , 上海市徐汇区漕溪北路595号
上海万国体育中心（原非洲联合馆） , 世博园博城路69号(原非洲联合馆)
上海大戏院 , 上海市静安区复兴中路1186号
立秀宝儿童职业体验馆 , 殷行路1286号悠方购物公园2楼
上海虹桥南丰城 , 遵义路100号
上海黄浦区文化馆 , 重庆南路308号(近建国中路)
上海国际音乐村 , 上海市浦东新区申迪东路399弄188号光明生态园内
上海国际旅游度假区Maxus大通音乐谷 , 川沙新镇申迪南路177号
先生的茶馆 , 徐汇区漕宝路68号光大会展中心一楼
南丰城剧场 , 长宁区遵义路100号，南丰城商场南区M层
linx , 淮海中路98号金钟广场
国家会展中心（上海）北广场 , 盈港东路158号
莫斯利安香草园 , 申迪东路399弄187号
上海瑞可碧橄榄球运动俱乐部 , 浦东新区张杨北路2700号(近地铁6号线五洲大道站)
静安区文化馆 , 乌鲁木齐北路459号静安区文化馆3号1楼
XSPACE , 上海静安区江宁路77号3F（恒隆广场对面）
漕河泾开发区A7会议中心 , 古美路1528号
百联世纪购物中心 , 世纪大道1217号
上海市嘉定体育新馆 , 新成路138号
林肯爵士乐上海中心 , 南京东路139号4层（近江西中路）
三林世博文化中心（三林影剧院） , 杨新路61号（近上南路）
飞氧星球 , 龙华中路759号绿地缤纷城西区2楼
上海长城假日酒店3楼-远近堂 , 天目西路285号
百乐门LIVE , 上海静安区愚园路218号百乐门2层
家家乐梦幻乐园 , 安浦路615号B1
上海嘉北郊野公园 , 上海市嘉定区嘉安公路近嘉松北路
爱琴海购物公园 , 吴中路1588号
浦东新区临港新城滴水湖西岛 , 申港大道--环湖西一路（滴水湖西岛）
有营house , 上海市静安区北京西路1013号尚演谷7F
麦金侬酒店 , 北京西路1013号(近江宁路)
上海世博园赛车场 , 海市浦东新区雪野二路350号
上海申亚森林营地 , 金汇镇明星村1103号
世博谷 , 世博大道1368号世博源1-5区
龙湖上海宝山天街 , 丹霞山路50弄1号
Sunland Green 森兰绿地 , 启帆路628号（近张杨北路）
迪美购物中心 , 人民大道221号B1迪美购物中心 方里市集 （风云再起对面）
长宁来福士钟楼 , 上海市长宁区长宁路1193号
红星美凯龙·爱巢剧场 , 上海市浦东新区金藏路58号红星美凯龙家居艺术设计博览中心F7
